date,username,tweet
5/10/2022 15:31,Ibey_FJ,"Gurunya udah dateng dan menjelaskan tentang #LGBT sampai hadist nya pun di terangkan ke pak deddy kaga usah ada tag #UnsubscribePodcastCorbuzier,  mending duduk santai nikmatin kopi sma rokok nikmatin pemandangan sambil nyimak perbincangannya.  https://t.co/QdLX3ZBiyh"
5/10/2022 15:31,udean_u,Setiap ke sulitan pasti ada ke mudahan  = 10 Mei LGBT Jerman Kebas ISIS  https://t.co/bJMEBQsPFD
5/10/2022 15:30,sowfeeaa,"contoh yg skrg dimana"" tentang mas deddy undang pasangan lgbt ke podcast dia. OKAY AND? kalo emg lo gasuka dengan konten nya just fucking skip it, toh mas deddy jg gapeduli lo mau nonton apa ngga. ngundang gay couple itu its HIS decision knp lo pada semua langsung -"
5/10/2022 15:30,ketahananapi16,"@ridwan_har @StopPlandemit Agama"" resmi diluar islam itu lah pendukung lgbt yg sebenarnya. Umat islam yg terang""an dukung lgbt itu kalau nggak munafik ya murtad."
5/10/2022 15:30,OPinggiran08,"Deddy Corbuzier Terpaksa Kehilangan Ini, Buntut Podcast LGBT  https://t.co/QHeRhgGiin"
5/10/2022 15:30,hambaaallaaah,@evalez_fr gak habis fikir sih sama kaum lgbt : (
5/10/2022 15:29,ilham22091985,Kalau kita menolak LGBT dan bahkan mendukung penyakit LGBT diberantas apakah dapat digolongkan Anti Perbedaan?  😂😂😂
5/10/2022 15:29,Bima_Perkasa241,"@AntonStefanus_ @Cintada16 Boleh benci dengan prilakunya,tp tdk membenci orangnya.krn LGBT tdk bisa disembuhkan,tp msh bisa dikondisikan."
5/10/2022 15:29,theclaay,@donny_bs @COMINARTY @fahiraidris Ya awareness untuk menolak lgbt perlu di tingkatkan. Secara itu merupakan tindakan penyimpangan yang bisa merugikan peradaban di masa depan. Tetapi sanksi langsung yg bisa kita lakukan ya hanya dg tidak menonton dan mengikuti channel dia lagi.
5/10/2022 15:29,yangdimpIe,sakura lgbt protector
5/10/2022 15:28,AhElah321,Mas dedi tetap istiqomah ya.. biarin orang2 berkicau blm tentu lebih baik dimata Allah. Tpi jgn Dukung Lgbt juga ya..
5/10/2022 15:28,awramhaf,Orang yang ikut menghalalkan tindakan lgbt menurut madzhab
5/10/2022 15:28,awramhaf,"❌Ngaku Islam, tapi mendukung LGBT?❌  Sumber : Ustadz Ammi Nur Baits (Dewan Pembina  https://t.co/rpiHrR9yp2)"
5/10/2022 15:28,DuitTerooosss,"@agentam2 @Ryanwehlaheuy @sleepyqr @adam_nurudin @whekeuhwcdvausf @caretocomehome Nah makanya susah ngmg sama klompok lu. Lu sndiri bilang klo ga ada agama yg mmbolehkan, smentara lgbt yg satu nya td ngotot ke gw bilang ada agama yg bolehin.. Dan elu yg bilang kriminal dri td.. Gw udh brkali2 bilang itu prilaku menyimpang, bukan kriminal, bukan abadi di neraka"
5/10/2022 15:28,hambaaallaaah,@missuwecityx @Dhyndha_ lgbt emang gak waras sih
5/10/2022 15:28,AntoAde5,"@CNNIndonesia kasih solusi, bantu negara, bantu agama, begitu....  Malah buat cengengesan. Problem LGBT bukan main2 itu om, sudah makin parah, makin ruwet. Negara seolah membiarkan, sementara dr sisi agamis hanya melontar hukuman."
5/10/2022 15:27,CobraDental,Thread ini dapat dibaca di artikel website Cobra Dental Indonesia   https://t.co/3pT6GEpIpo  Stay safety dan healthy.  #UnsubscribePodcastDeddy Ngekos Damsir Winda Bilqis LGBT Pemilu 2024 Jerman Kebas Gus Miftah
5/10/2022 15:27,NotReallyKelvin,"@pgmoraaji Padahal dia udah ngomong ga dukung kegiatan LGBT, tapi masih aja dirujak netizen. Lu pada kalo mau tenang sendiri mending cari LGBT sekitar lu terus bunuh²in dah, daripada ngomel doang."
5/10/2022 15:27,southestparker,lgbt
5/10/2022 15:27,RepelitaO,"Deddy Corbuzier Minta Maaf dan Tidak Dukung LGBT, Gus Miftah: Tapi Kenapa Lo Kasih Judul Tutorial Jadi Gay!?  https://t.co/CqRGQDZfc3 lewat @Onlineindo News"
5/10/2022 15:27,awaluddin65,Belum cukupkah Allah murka dan memberikan peringatan didalam alquran kpd kaum nabi luth.  Krn itu jgn diberi ruang kpd mereka. LGBT bkn  perbedaan tapi penyimpangan dan penyakit yg bs diobati. Kodrat manusia dan makhluk lainnya berpasangan utk menghasilkan generasi berikutnya.  https://t.co/bnO976FAlc
5/10/2022 15:27,RabbaniAjam,Mari tebas leher org yang open minded terhadap LGBT   Ari migara 2022
5/10/2022 15:26,MustofaMd,"@maspiyuaja mungkin nanti diangkat jadi duta LGBT ,seperti sebelumnya duta pancasila,duta santri"
5/10/2022 15:26,DiahSumarno,"@imdevil133 @lail_91 @SyifaAp09090023 @muammarfarhan99 @Vvvvvz12 tanpa kita hina, tanpa kita hujat, atau mengolok-olok pun Allah sudah melaknat kaum LGBT!"
5/10/2022 15:26,PANDHITADHYASA1,@Lisaamartatara4 LGBT ternyata pendukung Kelompok Luh Sendiri @Lisaamartatara4  https://t.co/8xQ6WI5Lmf
5/10/2022 15:26,yukopangestu,"Aku bingung, dengan banyaknya tonedeaf human yang ada disini... Indonesia kapan bisa maju kalau masalah sexual orientation aja harus dikaitkan KERAS terhadap agama, padahal belum tentu 100% LGBT itu menganut agama islam :(  Yang LGBT mending pindah ke yang lebih terbuka aja deh  https://t.co/ng56N6Lrwd"
5/10/2022 15:26,CobraDental,Thread ini dapat dibaca di artikel website Cobra Dental Indonesia   https://t.co/nJ4JNyxNCa  Stay safety dan healthy.  #UnsubscribePodcastDeddy Ngekos Damsir Winda Bilqis LGBT Pemilu 2024 Jerman Kebas Gus Miftah
5/10/2022 15:26,raihans47471215,Gus Miftah LGBT #UnsubscribePodcastCorbuzier
5/10/2022 15:26,SenoS8888,"@rachmaiv028 Agama pun mempunyai kebenaran relatif,kalau dipandang dari pemeluknya pasti dianggap mutlak kebenarannya... tetapi kalau yang memandang bukan pemeluknya pasti dianggap salah... kecuali LGBT dikitab agama manapun merupakan yang diharamkan"
5/10/2022 15:26,wanitaimpianmu,"Gegara Undang Pasangan LGBT, Followers Deddy Corbuzier Anjlok hingga 8 Juta  https://t.co/AcNyoaZDPU"
5/10/2022 15:26,icalofish,5 Jenis Ikan Pembawa Keberuntungan Ikan Hias Pembawa Hoki  https://t.co/FQEP6eDOg7 lewat @YouTube   Damsir Winda Haaland Jerman LGBT
5/10/2022 15:25,bayusanjaya_id,@Singgipratama6 @rachmaiv028 Itu yg harus diperjuangkan di negara ini. Supaya lebih tegas terhadap LGBT.  Syukur ada undang2nya..biar ada hukum yg mengatur.  Apakah mau menunggu Hukum Tuhan?
5/10/2022 15:25,porakporandaa,"setuju kaum lgbt bisa hidup, tp tidak setuju dgn pembenaran akan hubungan sejenis.  hypocrite? yes. idc. semua ada batasnya.   ""dimana bumi dipijak, disitu langit dijunjung"""
